,low,high,open,close,volume,nbdi
2016-04-24,454.65,472.38,464.47,466.17,9493.32784683,110.2331
2016-04-25,464.01,472.11,466.17,470.59,7471.24056177,110.1865
2016-04-26,434.0,470.79,470.3,445.31,11629.49770098,109.7496
2016-04-27,434.79,451.88,445.3,451.68,7644.69210461,109.8483
2016-04-28,448.5,459.44,451.67,458.82,5965.09735013,109.2148
2016-04-29,450.13,459.33,458.8,454.02,4710.2895045,108.8274
2016-04-30,451.55,457.07,454.02,456.98,2941.67587876,108.8274
2016-05-01,440.02,457.63,456.98,446.42,7694.20823194,108.8274
2016-05-02,443.61,453.29,446.53,452.21,5892.48138372,108.671
2016-05-03,446.76,453.23,452.21,448.68,4883.54001476,109.3613
2016-05-04,447.0,451.56,448.59,449.98,5336.21991152,109.9952
2016-05-05,448.84,463.73,449.99,462.31,6193.77720515,110.2417
2016-05-06,459.55,464.0,462.31,461.91,3463.8802064,110.3801
2016-05-07,457.5,465.0,461.91,462.79,3275.57794242,110.3801
2016-05-08,459.41,465.9,462.6,464.16,5882.94056987,110.3801
2016-05-09,448.2,465.0,464.15,452.78,6814.25705519,110.9466
2016-05-10,452.5,458.65,452.77,454.37,5746.40549365,110.8225
2016-05-11,449.27,456.57,454.56,456.48,6119.04462476,110.2806
2016-05-12,453.84,458.03,456.48,457.98,5404.20702972,110.6935
2016-05-13,456.0,459.83,457.97,458.9,3295.1997074,111.2521
2016-05-14,458.49,463.62,458.9,461.47,3269.98252507,111.2521
2016-05-15,451.48,461.59,461.48,455.66,6019.17236655,111.2521
2016-05-16,452.2,457.49,455.64,454.19,6033.90842585,111.1217
2016-05-17,453.6,457.88,454.19,455.56,5512.42378222,111.0867
2016-05-18,435.0,456.41,455.56,438.38,8412.58613924,111.4995
2016-05-19,435.5,445.85,437.91,445.65,7178.735362,112.2331
2016-05-20,441.88,446.99,445.52,446.28,3945.71821234,112.1822
2016-05-21,440.89,446.45,446.27,442.48,3779.58274056,112.1822
2016-05-22,440.79,446.3,442.45,445.67,5659.42935339,112.1822
2016-05-23,440.5,448.5,445.56,446.99,6536.8124736,112.284
2016-05-24,446.86,452.42,446.98,451.49,6167.95576946,112.2912
2016-05-25,449.0,454.99,451.45,454.97,5843.88197402,112.2001
2016-05-26,454.35,476.75,454.97,471.27,9888.02648828,111.8979
2016-05-27,470.13,539.49,471.21,523.25,12107.45659727,112.0822
2016-05-28,491.01,549.99,523.35,525.22,9957.52724318,112.0822
2016-05-29,519.0,541.0,525.22,532.55,5960.33332201,112.0822
2016-05-30,520.01,544.9,532.56,531.34,8491.97268136,112.0822
2016-05-31,524.39,541.5,531.25,534.84,5736.65283224,112.4276
2016-06-01,531.86,541.2,534.85,537.87,6329.87872329,112.462
2016-06-02,535.96,578.0,538.06,571.25,10203.7254522,112.4564
2016-06-03,564.29,594.64,571.09,576.31,6932.07537817,111.4451
2016-06-04,570.22,585.0,576.31,575.17,4984.2494482,111.4451
2016-06-05,575.0,588.15,575.17,586.77,6791.26453533,111.4451
2016-06-06,475.0,590.95,586.75,579.71,10079.83684173,111.2295
2016-06-07,572.96,583.99,579.72,583.21,5661.74917272,110.8378
2016-06-08,574.0,583.48,583.19,577.46,4979.63044035,110.1916
2016-06-09,573.5,581.0,577.47,580.31,5659.48661659,110.6168
2016-06-10,580.31,610.0,580.31,609.5,5542.22525864,111.1027
2016-06-11,605.0,687.71,609.5,677.86,18004.01737962,111.1027
2016-06-12,663.55,720.0,677.45,706.01,15497.40307056,111.1027
2016-06-13,650.02,706.45,706.02,684.95,12443.0955638,111.5036
2016-06-14,673.0,699.3,684.99,698.78,7913.03547125,111.9826
2016-06-15,698.76,777.68,698.76,769.76,16806.85873763,111.7671
2016-06-16,709.01,778.5,769.71,752.26,14007.79895098,112.2347
2016-06-17,734.8,785.15,752.0,758.99,9594.92358376,111.5332
2016-06-18,744.77,771.92,759.0,768.76,5442.63878549,111.5332
2016-06-19,701.01,768.94,768.94,703.12,9837.24384715,111.5332
2016-06-20,628.6,718.26,706.47,667.66,26110.68887273,110.8693
2016-06-21,568.11,679.99,667.88,604.5,15592.43638084,111.0077
2016-06-22,544.13,637.89,606.13,631.1,20474.00358887,110.7681
2016-06-23,631.01,700.0,631.1,669.98,19078.84530672,110.262
2016-06-24,650.0,699.0,669.98,673.71,7691.56323655,112.1355
2016-06-25,625.01,675.19,673.71,638.56,5678.38601546,112.1355
2016-06-26,630.0,659.98,638.56,657.87,6624.33980245,112.1355
2016-06-27,638.0,663.53,657.86,648.43,5696.74677715,113.1301
2016-06-28,630.02,648.43,648.43,639.42,6485.12685807,112.7545
2016-06-29,635.14,675.0,639.41,673.49,7764.24646799,111.8597
2016-06-30,667.0,688.99,673.5,678.19,6839.68854227,112.1618
2016-07-01,676.92,705.21,678.09,704.95,4977.98046916,111.6509
2016-07-02,651.0,705.25,705.25,663.55,6495.70846259,111.6509
2016-07-03,653.16,683.69,664.09,681.98,4327.4107689,111.6509
2016-07-04,662.51,682.37,681.98,669.87,5043.81182652,111.6509
2016-07-05,665.0,680.79,669.75,678.79,5668.23807828,112.4231
2016-07-06,611.94,683.44,678.79,641.97,12281.48061343,112.5438
2016-07-07,638.04,667.33,641.97,667.33,11055.36574175,112.5775
2016-07-08,608.0,667.3,667.07,657.61,9607.6959149,112.3963
2016-07-09,641.0,657.61,657.6,652.44,3705.89414753,112.3963
2016-07-10,648.11,664.27,652.43,650.97,4815.437046,112.3963
2016-07-11,648.6,675.5,651.25,666.56,10666.08971384,112.5254
2016-07-12,654.86,671.45,666.25,655.34,21882.00922995,112.1102
2016-07-13,640.0,663.99,655.3,661.65,4649.64369535,112.0266
2016-07-14,660.68,669.98,661.4,667.48,4725.74361249,111.7692
2016-07-15,662.01,669.99,667.48,666.32,2908.02982543,112.2833
2016-07-16,665.95,680.99,666.3,680.0,3944.42402405,112.2833
2016-07-17,670.0,684.94,680.0,675.5,4547.72178477,112.2833
2016-07-18,666.17,676.87,675.51,673.98,3799.77117828,112.2463
2016-07-19,664.6,674.99,673.98,666.92,3603.86279956,112.638
2016-07-20,661.19,668.4,667.15,667.28,3967.87180841,112.6743
2016-07-21,647.59,669.94,667.27,654.67,7371.96466565,112.6239
2016-07-22,653.92,662.35,654.7,657.5,4379.51140552,112.989
2016-07-23,655.01,666.37,657.68,661.0,3423.08122968,112.989
2016-07-24,653.77,664.13,660.92,657.79,4101.53773839,112.989
2016-07-25,645.0,658.99,657.99,654.06,6470.74022151,113.1784
2016-07-26,646.56,658.99,654.06,657.35,5175.14137436,113.0593
2016-07-27,654.1,659.97,657.0,657.4,3832.98840948,113.217
2016-07-28,651.0,659.0,657.4,657.0,4246.21269481,112.7393
2016-07-29,652.95,658.98,657.18,655.87,2980.08541508,111.874
2016-07-30,621.37,657.0,655.95,626.97,6299.64138309,111.874
2016-07-31,599.0,629.34,626.97,605.2,7981.71787362,111.874
2016-08-01,483.0,613.38,604.87,537.47,14839.34615984,111.9757
2016-08-02,519.3,576.0,538.8,573.36,20292.859717,111.7124
2016-08-03,562.11,599.95,573.35,587.5,9514.32837515,111.9419
2016-08-04,570.39,592.87,587.5,583.0,5478.38879554,111.9149
2016-08-05,574.5,591.72,583.0,591.71,3907.87281274,112.3589
2016-08-06,587.2,598.65,591.7,595.14,3288.65737176,112.3589
2016-08-07,590.0,595.99,595.14,591.48,3852.03062424,112.3589
2016-08-08,585.38,594.04,591.58,586.45,4817.62624738,112.1456
2016-08-09,583.29,601.09,586.75,594.94,9439.72597721,111.722
2016-08-10,585.6,599.99,594.94,587.91,5062.58283783,111.3238
2016-08-11,583.62,590.09,587.9,587.74,3870.89068755,111.1954
2016-08-12,586.0,589.5,587.68,586.45,2839.70446781,111.1787
2016-08-13,565.19,586.49,586.45,574.99,4154.4769823,111.1787
2016-08-14,561.56,574.97,574.97,567.79,4403.16173516,111.1787
2016-08-15,566.09,581.99,567.85,579.02,4692.46182455,110.9212
2016-08-16,569.67,581.99,579.02,574.45,4509.7743737,110.4295
2016-08-17,573.0,576.99,574.45,574.09,3964.9989895,110.9459
2016-08-18,572.68,576.99,574.05,573.67,4038.30300064,110.3134
2016-08-19,572.38,583.92,573.68,581.87,3581.22425349,110.8163
2016-08-20,579.34,583.99,581.72,581.29,2442.63374814,110.8163
2016-08-21,579.22,586.99,581.34,585.2,4493.44110907,110.8163
2016-08-22,577.47,586.77,585.19,582.39,5092.27462505,110.9997
2016-08-23,575.29,582.68,582.39,578.47,3857.02318764,110.9414
2016-08-24,573.12,579.0,578.68,575.58,4109.11256132,111.2958
2016-08-25,574.85,579.86,575.57,579.29,3354.18317104,111.1726
2016-08-26,568.95,579.45,579.29,570.84,3059.49308936,111.2035
2016-08-27,569.65,575.41,570.83,575.41,2587.45426087,111.2035
2016-08-28,571.24,577.73,575.41,573.21,4569.5624841,111.2035
2016-08-29,572.53,576.83,573.21,574.95,4175.84646427,111.8775
2016-08-30,569.21,575.15,574.95,572.89,4439.62383694,112.2928
2016-08-31,568.12,573.31,572.89,573.02,5203.40066602,112.4036
2016-09-01,570.0,577.97,572.94,576.21,4827.43459895,112.1733
2016-09-02,574.67,600.99,576.41,600.91,4707.9044818,112.0009
2016-09-03,597.52,617.13,600.93,611.92,4592.85098189,112.0009
2016-09-04,601.63,611.99,611.94,605.69,3010.75003224,112.0009
2016-09-05,605.47,612.99,605.93,612.99,4169.69788463,112.0009
2016-09-06,609.21,618.53,612.99,615.21,4680.9577166,110.9613
2016-09-07,613.43,631.3,615.22,627.97,5225.03677269,110.9717
2016-09-08,618.25,628.69,627.97,622.07,4502.86557587,111.2609
2016-09-09,620.59,626.54,622.07,623.74,2819.13150751,111.9879
2016-09-10,591.8,630.11,623.58,607.94,4289.6247761,111.9879
2016-09-11,603.0,609.45,607.94,606.74,3986.16471563,111.9879
2016-09-12,605.16,609.99,606.86,608.63,3888.07052292,112.1516
2016-09-13,608.0,611.99,608.39,608.43,3744.74317438,112.5207
2016-09-14,603.33,609.49,608.47,605.44,3965.6919502,112.4678
2016-09-15,603.15,608.1,605.43,607.93,4171.00563277,112.4753
2016-09-16,604.0,608.99,607.95,607.92,2942.64908837,113.1765
2016-09-17,607.22,611.93,607.92,611.4,3091.45513304,113.1765
2016-09-18,607.4,612.46,611.4,608.6,3096.46853792,113.1765
2016-09-19,605.6,609.92,608.6,605.6,4601.69967614,112.903
2016-09-20,592.63,605.6,605.6,597.0,4885.89704059,113.1848
2016-09-21,594.78,598.54,597.0,596.21,3998.40601014,112.9842
2016-09-22,595.14,603.3,595.99,602.96,3759.0236907,112.2592
2016-09-23,601.08,605.94,602.96,603.68,2646.49759755,112.7166
2016-09-24,599.42,605.99,603.69,601.67,2577.17870414,112.7166
2016-09-25,600.02,607.99,601.67,607.08,4292.32724007,112.7166
2016-09-26,601.38,607.54,607.04,605.71,4345.51888885,112.7112
2016-09-27,603.18,606.0,605.71,605.04,3710.0120722,112.5515
2016-09-28,603.56,606.89,604.96,605.99,4106.83205706,112.6283
2016-09-29,605.0,608.99,605.99,608.99,4626.81936993,112.2879
2016-09-30,608.98,617.19,608.99,615.65,3480.01593911,112.2795
2016-10-01,608.66,615.9,615.65,612.4,2911.8918914,112.2795
2016-10-02,610.7,615.24,612.42,612.99,4436.78281505,112.2795
2016-10-03,606.93,613.23,612.99,610.34,5060.86312789,112.5077
2016-10-04,609.22,614.24,610.33,613.16,4454.40369502,112.6579
2016-10-05,610.3,613.39,613.16,611.88,3920.07531583,112.7946
2016-10-06,609.89,618.7,611.78,617.98,5119.98889954,113.0066
2016-10-07,617.55,620.0,618.11,619.5,2793.95535361,113.2915
2016-10-08,617.0,619.59,619.46,617.42,2329.86207734,113.2915
2016-10-09,615.46,619.2,617.43,618.72,3896.59582637,113.2915
2016-10-10,618.13,647.03,618.72,642.12,6316.50262935,113.2915
2016-10-11,631.91,643.58,642.3,635.79,4334.7387028,113.4461
2016-10-12,632.0,639.85,635.9,635.66,3845.21461185,113.7442
2016-10-13,624.08,639.99,635.8,638.03,4365.86702469,113.6238
2016-10-14,636.0,639.99,638.03,638.16,683.79807092,113.7119
2016-10-15,637.87,643.91,638.16,641.92,2547.64969894,113.7119
2016-10-16,636.27,643.47,642.1,639.56,3950.24167083,113.7119
2016-10-17,632.15,640.0,639.56,635.11,4126.80597819,113.5488
2016-10-18,625.6,636.99,635.12,629.79,4465.14828834,113.1393
2016-10-19,626.01,629.99,629.79,628.05,4170.46626703,113.0547
2016-10-20,627.5,633.41,628.19,630.83,4162.76985048,113.4033
2016-10-21,629.32,658.0,630.67,652.75,4586.7845212,113.9015
2016-10-22,645.33,655.8,653.03,651.04,3075.73956709,113.9015
2016-10-23,645.81,652.93,651.05,649.98,3670.49141848,113.9015
2016-10-24,648.99,657.5,649.98,654.3,4814.88839172,113.8571
2016-10-25,652.51,678.0,654.3,674.0,5843.50141279,113.6801
2016-10-26,673.54,692.41,674.0,691.21,6771.85374768,113.8131
2016-10-27,683.2,691.19,691.01,689.95,4409.98654001,114.1998
2016-10-28,689.39,725.64,689.95,714.28,6583.49896892,114.0931
2016-10-29,692.04,714.98,714.28,697.41,3799.52235609,114.0931
2016-10-30,681.01,709.68,697.39,696.9,4474.8670547,114.0931
2016-10-31,695.74,737.5,697.07,730.7,6909.18196562,114.0188
2016-11-01,720.0,744.6,730.7,744.6,5096.8408538,113.9915
2016-11-02,672.06,746.16,744.61,690.0,10331.34963833,113.9206
2016-11-03,683.8,708.33,690.0,706.32,5229.21994603,113.7664
2016-11-04,697.72,707.99,706.05,706.99,2999.21458017,113.5828
2016-11-05,705.86,719.83,706.98,717.02,3013.17627869,113.5828
2016-11-06,701.35,717.32,717.04,706.42,4168.78736342,113.5828
2016-11-07,704.16,716.45,706.41,711.15,4361.51958288,113.5443
2016-11-08,710.05,747.26,711.3,720.97,12022.23320968,113.3017
2016-11-09,705.84,723.61,721.0,712.91,4441.88391256,114.6956
2016-11-10,712.5,718.99,713.0,716.9,3363.91577496,115.9375
