date,close,volume,nbdi
2018-08-02,7414.08,11084.8522024,113.1674
2018-08-03,7005.0,9933.75030971,113.0114
2018-08-04,7030.01,6243.59990905,113.0114
2018-08-05,6938.0,8956.04941689,113.0114
2018-08-06,6718.22,11165.1416331,113.2283
2018-08-07,6282.5,22145.35061404,112.9753
2018-08-08,6546.45,13980.70056404,113.1404
2018-08-09,6146.01,8064.70939768,113.3797
2018-08-10,6235.56,10153.23416272,114.2992
2018-08-11,6316.01,8324.09104131,114.2992
2018-08-12,6253.67,10604.12278957,114.2992
2018-08-13,6195.01,17742.68279169,114.8497
2018-08-14,6269.01,17786.54579416,114.6566
2018-08-15,6315.9,8976.04113374,115.1512
2018-08-16,6585.49,10776.85436559,114.6403
2018-08-17,6396.64,6974.44185927,114.5327
2018-08-18,6489.53,4472.17616704,114.5327
2018-08-19,6258.74,7905.42302586,114.5327
2018-08-20,6475.89,6860.90002944,114.3493
2018-08-21,6359.99,17611.22588439,113.8595
2018-08-22,6526.36,6998.97316777,113.6622
2018-08-23,6690.88,7427.5446068,114.0926
2018-08-24,6737.52,4930.16607076,113.598
2018-08-25,6709.98,5009.10271396,113.598
2018-08-26,6911.9,7307.58523518,113.598
2018-08-27,7071.01,11880.45612553,113.2717
2018-08-28,7030.9,7712.75849986,113.3441
2018-08-29,6983.0,8327.34545381,113.6458
2018-08-30,7015.01,7857.29840392,114.0895
2018-08-31,7191.08,6276.18561687,114.275
2018-09-01,7295.0,5891.96980364,114.275
2018-09-02,7256.98,6133.07725249,114.275
2018-09-03,7360.0,7999.76955668,114.275
2018-09-04,6687.96,16381.47246369,114.858
2018-09-05,6495.0,18836.77907471,114.7474
2018-09-06,6395.01,8369.22939503,114.6473
2018-09-07,6188.0,7581.68777214,114.5807
2018-09-08,6235.01,6356.67380803,114.5807
2018-09-09,6300.0,7028.65453232,114.5807
2018-09-10,6282.53,7512.79094263,114.6793
2018-09-11,6326.0,7428.99131549,114.7044
2018-09-12,6485.99,9800.75125525,114.2185
