day,low,high,open,close,volume
2022-07-22,21941.01,23006.16,22688.85,22450.69,12592.30066753
2022-07-21,22505.56,23763.55,23152.76,22687.68,20884.25890814
2022-07-20,22340.07,23434.65,23225.24,23153.96,24113.43095206
2022-07-19,22899.0,24287.13,23398.46,23226.99,34094.81155381
2022-07-18,21578.57,23800.0,22434.97,23395.06,34808.90125305
2022-07-17,20755.95,22777.0,20791.74,22427.56,31445.5132866
2022-07-16,20750.1,21667.1,21189.23,20791.74,11450.67396279
2022-07-15,20475.94,21582.71,20823.06,21189.68,12479.60342503
2022-07-14,20368.67,21196.37,20574.96,20827.55,17731.34162095
2022-07-13,19607.14,20893.73,20219.69,20577.02,24371.50910244
2022-07-12,18892.0,20330.71,19304.71,20220.23,28211.91563971
2022-07-11,19226.47,20037.46,19942.44,19303.65,21631.52226271
2022-07-10,19860.12,20854.32,20850.65,19942.43,16061.45339697
2022-07-09,20636.53,21595.75,21582.23,20850.65,9610.90399408
2022-07-08,21311.04,21959.3,21582.28,21583.99,9424.31410235
2022-07-07,21172.0,22490.54,21618.04,21582.2,25311.00378887
2022-07-06,20224.8,21855.72,20542.66,21614.6,25211.332802
2022-07-05,19743.0,20650.0,20153.74,20542.67,18489.12900774
2022-07-04,19274.95,20734.89,20212.42,20153.51,21938.40185419
2022-07-03,19029.33,20331.76,19291.35,20211.35,14462.57230204
2022-07-02,18755.75,19622.33,19225.54,19291.33,11826.36538269
2022-07-01,18955.02,19422.02,19252.76,19224.03,10707.74160684
2022-06-30,18938.33,20879.99,19985.62,19252.76,32977.00052272
2022-06-29,18603.0,20143.53,20098.0,19985.62,28361.45876221
2022-06-28,19823.43,20410.91,20253.5,20094.79,18278.45185883
2022-06-27,20164.7,21189.99,20722.95,20252.89,17658.6604167
2022-06-26,20500.0,21520.0,21024.85,20725.17,17440.94268269
2022-06-25,20944.68,21866.0,21474.14,21027.92,11145.88852674
2022-06-24,20900.0,21594.5,21221.13,21478.04,12877.9734191
2022-06-23,20712.54,21537.46,21104.45,21223.72,21361.7652594
2022-06-22,19869.41,21211.97,19970.07,21104.45,21460.76883515
2022-06-21,19751.51,20873.52,20699.63,19968.46,26569.63207564
2022-06-20,20328.03,21711.0,20547.68,20696.96,23770.75139634
2022-06-19,19603.8,21041.62,20552.39,20549.75,24904.11647858
2022-06-18,17934.26,20795.11,18944.66,20552.44,29383.34368967
2022-06-17,17567.45,20750.0,20447.86,18948.89,52894.97568032
2022-06-16,20209.73,21338.7,20371.96,20447.86,25560.04919013
2022-06-15,20200.0,22974.1,22562.33,20372.0,37587.2170128
2022-06-14,20071.0,22769.12,22120.23,22562.33,62040.45345538
2022-06-13,20816.4,23299.22,22460.97,22120.25,47382.80135514
2022-06-12,21920.0,26869.35,26555.17,22460.97,81724.84469418
2022-06-11,26532.95,28516.33,28395.03,26555.2,18661.94193886
2022-06-10,28080.01,29411.11,29058.79,28388.63,13276.76193059
2022-06-09,28821.15,30337.83,30079.59,29063.11,23208.77056569
2022-06-08,29904.0,30679.72,30182.92,30079.62,13334.23491125
2022-06-07,29829.98,31306.32,31111.0,30177.0,16775.53319148
2022-06-06,29200.0,31549.21,31349.59,31106.9,23234.0811685
2022-06-05,29866.44,31745.0,29899.62,31343.61,20384.91220986
2022-06-04,29505.65,30158.44,29837.56,29901.54,5482.4963235
2022-06-03,29454.14,29952.0,29672.77,29843.18,6390.75942952
2022-06-02,29213.47,30674.95,30429.12,29670.85,15016.78184772
2022-06-01,29558.61,30655.0,29789.19,30433.75,18519.12608247
2022-05-31,29308.01,31964.56,31784.18,29788.79,26857.46263482
2022-05-30,31195.9,32383.96,31716.67,31784.05,21187.77667355
2022-05-29,29273.65,32232.16,29447.08,31711.42,24915.37275974
2022-05-28,28809.84,29550.0,29008.99,29447.07,6727.92770357
2022-05-27,28500.0,29239.52,28598.31,29008.99,7717.34367577
2022-05-26,28220.0,29355.4,29166.06,28598.31,21035.53736928
2022-05-25,28000.0,29850.0,29503.48,29166.06,26598.58606063
2022-05-24,29296.12,30192.08,29627.61,29503.49,17180.56600794
2022-05-23,28611.0,29802.0,29079.31,29626.44,17077.03870179
2022-05-22,28847.72,30635.39,30258.04,29082.52,25413.0825529
2022-05-21,29211.0,30457.9,29407.4,30260.87,11774.13662231
